variable_specification,sample_group
ef_enfu_stationary_combustion_tonne_ch4_per_tj_fuel_biofuels,151
ef_enfu_stationary_combustion_tonne_ch4_per_tj_fuel_biogas,152
ef_enfu_stationary_combustion_tonne_ch4_per_tj_fuel_biomass,153
ef_enfu_stationary_combustion_tonne_ch4_per_tj_fuel_coal,154
ef_enfu_stationary_combustion_tonne_ch4_per_tj_fuel_coal_deposits,155
ef_enfu_stationary_combustion_tonne_ch4_per_tj_fuel_coke,156
ef_enfu_stationary_combustion_tonne_ch4_per_tj_fuel_crude,157
ef_enfu_stationary_combustion_tonne_ch4_per_tj_fuel_diesel,158
ef_enfu_stationary_combustion_tonne_ch4_per_tj_fuel_electricity,159
ef_enfu_stationary_combustion_tonne_ch4_per_tj_fuel_furnace_gas,160
ef_enfu_stationary_combustion_tonne_ch4_per_tj_fuel_gasoline,161
ef_enfu_stationary_combustion_tonne_ch4_per_tj_fuel_geothermal,162
ef_enfu_stationary_combustion_tonne_ch4_per_tj_fuel_hydrocarbon_gas_liquids,163
ef_enfu_stationary_combustion_tonne_ch4_per_tj_fuel_hydrogen,164
ef_enfu_stationary_combustion_tonne_ch4_per_tj_fuel_kerosene,165
ef_enfu_stationary_combustion_tonne_ch4_per_tj_fuel_natural_gas,166
ef_enfu_stationary_combustion_tonne_ch4_per_tj_fuel_natural_gas_unprocessed,167
ef_enfu_stationary_combustion_tonne_ch4_per_tj_fuel_nuclear,168
ef_enfu_stationary_combustion_tonne_ch4_per_tj_fuel_ocean,169
ef_enfu_stationary_combustion_tonne_ch4_per_tj_fuel_oil,170
ef_enfu_stationary_combustion_tonne_ch4_per_tj_fuel_other,171
ef_enfu_stationary_combustion_tonne_ch4_per_tj_fuel_solar,172
ef_enfu_stationary_combustion_tonne_ch4_per_tj_fuel_waste,173
ef_enfu_stationary_combustion_tonne_ch4_per_tj_fuel_water,174
ef_enfu_stationary_combustion_tonne_ch4_per_tj_fuel_wind,175
ef_enfu_stationary_combustion_tonne_n2o_per_tj_fuel_ammonia,176
ef_enfu_stationary_combustion_tonne_n2o_per_tj_fuel_biofuels,177
ef_enfu_stationary_combustion_tonne_n2o_per_tj_fuel_biogas,178
ef_enfu_stationary_combustion_tonne_n2o_per_tj_fuel_biomass,179
ef_enfu_stationary_combustion_tonne_n2o_per_tj_fuel_coal,180
ef_enfu_stationary_combustion_tonne_n2o_per_tj_fuel_coal_deposits,181
ef_enfu_stationary_combustion_tonne_n2o_per_tj_fuel_coke,182
ef_enfu_stationary_combustion_tonne_n2o_per_tj_fuel_crude,183
ef_enfu_stationary_combustion_tonne_n2o_per_tj_fuel_diesel,184
ef_enfu_stationary_combustion_tonne_n2o_per_tj_fuel_electricity,185
ef_enfu_stationary_combustion_tonne_n2o_per_tj_fuel_furnace_gas,186
ef_enfu_stationary_combustion_tonne_n2o_per_tj_fuel_gasoline,187
ef_enfu_stationary_combustion_tonne_n2o_per_tj_fuel_geothermal,188
ef_enfu_stationary_combustion_tonne_n2o_per_tj_fuel_hydrocarbon_gas_liquids,189
ef_enfu_stationary_combustion_tonne_n2o_per_tj_fuel_hydrogen,190
ef_enfu_stationary_combustion_tonne_n2o_per_tj_fuel_kerosene,191
ef_enfu_stationary_combustion_tonne_n2o_per_tj_fuel_natural_gas,192
ef_enfu_stationary_combustion_tonne_n2o_per_tj_fuel_natural_gas_unprocessed,193
ef_enfu_stationary_combustion_tonne_n2o_per_tj_fuel_nuclear,194
ef_enfu_stationary_combustion_tonne_n2o_per_tj_fuel_ocean,195
ef_enfu_stationary_combustion_tonne_n2o_per_tj_fuel_oil,196
ef_enfu_stationary_combustion_tonne_n2o_per_tj_fuel_other,197
ef_enfu_stationary_combustion_tonne_n2o_per_tj_fuel_solar,198
ef_enfu_stationary_combustion_tonne_n2o_per_tj_fuel_waste,199
ef_enfu_stationary_combustion_tonne_n2o_per_tj_fuel_water,200
ef_enfu_stationary_combustion_tonne_n2o_per_tj_fuel_wind,201
ef_fgtv_distribution_tonne_ch4_per_m3_fuel_natural_gas,202
ef_fgtv_distribution_tonne_co2_per_m3_fuel_natural_gas,203
ef_fgtv_distribution_tonne_nmvoc_per_m3_fuel_natural_gas,204
ef_fgtv_production_flaring_tonne_ch4_per_m3_fuel_coal,205
ef_fgtv_production_flaring_tonne_ch4_per_m3_fuel_natural_gas,206
ef_fgtv_production_flaring_tonne_ch4_per_m3_fuel_oil,207
ef_fgtv_production_flaring_tonne_co2_per_m3_fuel_coal,208
ef_fgtv_production_flaring_tonne_co2_per_m3_fuel_natural_gas,209
ef_fgtv_production_flaring_tonne_co2_per_m3_fuel_oil,210
ef_fgtv_production_flaring_tonne_n2o_per_m3_fuel_natural_gas,211
ef_fgtv_production_flaring_tonne_n2o_per_m3_fuel_oil,212
ef_fgtv_production_flaring_tonne_nmvoc_per_m3_fuel_natural_gas,213
ef_fgtv_production_flaring_tonne_nmvoc_per_m3_fuel_oil,214
ef_fgtv_production_fugitive_tonne_ch4_per_m3_fuel_coal,215
ef_fgtv_production_fugitive_tonne_ch4_per_m3_fuel_natural_gas,216
ef_fgtv_production_fugitive_tonne_ch4_per_m3_fuel_oil,217
ef_fgtv_production_fugitive_tonne_co2_per_m3_fuel_coal,218
ef_fgtv_production_fugitive_tonne_co2_per_m3_fuel_natural_gas,219
ef_fgtv_production_fugitive_tonne_co2_per_m3_fuel_oil,220
ef_fgtv_production_fugitive_tonne_n2o_per_m3_fuel_oil,221
ef_fgtv_production_fugitive_tonne_nmvoc_per_m3_fuel_natural_gas,222
ef_fgtv_production_fugitive_tonne_nmvoc_per_m3_fuel_oil,223
ef_fgtv_production_venting_tonne_ch4_per_m3_fuel_coal,224
ef_fgtv_production_venting_tonne_ch4_per_m3_fuel_oil,225
ef_fgtv_production_venting_tonne_co2_per_m3_fuel_coal,226
ef_fgtv_production_venting_tonne_co2_per_m3_fuel_oil,227
ef_fgtv_production_venting_tonne_n2o_per_m3_fuel_oil,228
ef_fgtv_production_venting_tonne_nmvoc_per_m3_fuel_oil,229
ef_fgtv_transmission_tonne_ch4_per_m3_fuel_natural_gas,230
ef_fgtv_transmission_tonne_ch4_per_m3_fuel_oil,231
ef_fgtv_transmission_tonne_co2_per_m3_fuel_natural_gas,232
ef_fgtv_transmission_tonne_co2_per_m3_fuel_oil,233
ef_fgtv_transmission_tonne_n2o_per_m3_fuel_oil,234
ef_fgtv_transmission_tonne_nmvoc_per_m3_fuel_natural_gas,235
ef_fgtv_transmission_tonne_nmvoc_per_m3_fuel_oil,236
ef_frst_c_per_wood_products,237
ef_frst_forestfires_mangroves_co2,238
ef_frst_forestfires_primary_co2,239
ef_frst_forestfires_secondary_co2,240
ef_frst_forestmethane_mangroves_kt_ch4_ha,241
ef_frst_forestmethane_primary_kt_ch4_ha,242
ef_frst_forestmethane_secondary_kt_ch4_ha,243
ef_frst_sequestration_mangroves_kt_co2_ha,244
ef_frst_sequestration_primary_kt_co2_ha,245
ef_frst_sequestration_secondary_kt_co2_ha,246
ef_ippu_tonne_c2f6_per_mmm_gdp_product_use_ods_other,30
ef_ippu_tonne_c2f6_per_tonne_production_chemicals,247
ef_ippu_tonne_c2f6_per_tonne_production_electronics,30
ef_ippu_tonne_c2f6_per_tonne_production_metals,30
ef_ippu_tonne_c2h3f3_per_mmm_gdp_product_use_ods_refrigeration,30
ef_ippu_tonne_c2h3f3_per_tonne_production_chemicals,248
ef_ippu_tonne_c2hf5_per_mmm_gdp_product_use_ods_other,30
ef_ippu_tonne_c2hf5_per_mmm_gdp_product_use_ods_refrigeration,30
ef_ippu_tonne_c2hf5_per_tonne_production_chemicals,249
ef_ippu_tonne_c3f8_per_tonne_production_chemicals,250
ef_ippu_tonne_c3f8_per_tonne_production_electronics,30
ef_ippu_tonne_c3h2f6_per_mmm_gdp_product_use_ods_other,251
ef_ippu_tonne_c3h2f6_per_mmm_gdp_product_use_ods_refrigeration,252
ef_ippu_tonne_c3h3f5_per_mmm_gdp_product_use_ods_other,30
ef_ippu_tonne_c3h3f5_per_mmm_gdp_product_use_ods_refrigeration,30
ef_ippu_tonne_c3hf7_per_mmm_gdp_product_use_ods_other,253
ef_ippu_tonne_c3hf7_per_mmm_gdp_product_use_ods_refrigeration,254
ef_ippu_tonne_c3hf7_per_tonne_production_chemicals,255
ef_ippu_tonne_c4f10_per_mmm_gdp_product_use_ods_other,30
ef_ippu_tonne_c4f10_per_tonne_production_chemicals,256
ef_ippu_tonne_c4f6_per_tonne_production_electronics,30
ef_ippu_tonne_c4f8o_per_tonne_production_electronics,30
ef_ippu_tonne_c4h5f5_per_mmm_gdp_product_use_ods_other,30
ef_ippu_tonne_c4h5f5_per_tonne_production_chemicals,257
ef_ippu_tonne_c5f12_per_tonne_production_chemicals,258
ef_ippu_tonne_c5f8_per_tonne_production_electronics,30
ef_ippu_tonne_c5h2f10_per_mmm_gdp_product_use_ods_other,30
ef_ippu_tonne_c6f14_per_mmm_gdp_product_use_ods_other,259
ef_ippu_tonne_c6f14_per_tonne_production_chemicals,260
ef_ippu_tonne_cc4f8_per_tonne_production_chemicals,261
ef_ippu_tonne_cc4f8_per_tonne_production_electronics,262
ef_ippu_tonne_cf4_per_mmm_gdp_product_use_ods_other,263
ef_ippu_tonne_cf4_per_tonne_production_chemicals,264
ef_ippu_tonne_cf4_per_tonne_production_electronics,265
ef_ippu_tonne_cf4_per_tonne_production_metals,30
ef_ippu_tonne_ch2f2_per_mmm_gdp_product_use_ods_refrigeration,30
ef_ippu_tonne_ch2f2_per_tonne_production_chemicals,266
ef_ippu_tonne_ch2f2_per_tonne_production_electronics,30
ef_ippu_tonne_ch2fchf2_per_mmm_gdp_product_use_ods_refrigeration,267
ef_ippu_tonne_ch3cci2f_per_mmm_gdp_product_use_ods_refrigeration,268
ef_ippu_tonne_ch3ccif2_per_mmm_gdp_product_use_ods_refrigeration,269
ef_ippu_tonne_ch3chf2_per_mmm_gdp_product_use_ods_other,270
ef_ippu_tonne_ch3chf2_per_mmm_gdp_product_use_ods_refrigeration,271
ef_ippu_tonne_ch3chf2_per_tonne_production_chemicals,272
ef_ippu_tonne_ch3f_per_tonne_production_electronics,273
ef_ippu_tonne_ch4_per_tonne_production_chemicals,274
ef_ippu_tonne_ch4_per_tonne_production_metals,275
ef_ippu_tonne_ch4_per_tonne_production_plastic,276
ef_ippu_tonne_chf2cf3_per_mmm_gdp_product_use_ods_other,30
ef_ippu_tonne_chf2cf3_per_mmm_gdp_product_use_ods_refrigeration,30
ef_ippu_tonne_chf2cf3_per_tonne_production_chemicals,277
ef_ippu_tonne_chf2chf2_per_mmm_gdp_product_use_ods_refrigeration,278
ef_ippu_tonne_chf3_per_mmm_gdp_product_use_ods_other,279
ef_ippu_tonne_chf3_per_mmm_gdp_product_use_ods_refrigeration,280
ef_ippu_tonne_chf3_per_tonne_production_chemicals,30
ef_ippu_tonne_chf3_per_tonne_production_electronics,281
ef_ippu_tonne_co2_per_tonne_product_use_product_use_lubricants,282
ef_ippu_tonne_co2_per_tonne_product_use_product_use_paraffin_wax,283
ef_ippu_tonne_co2_per_tonne_production_cement_clinker,284
ef_ippu_tonne_co2_per_tonne_production_chemicals,285
ef_ippu_tonne_co2_per_tonne_production_glass,286
ef_ippu_tonne_co2_per_tonne_production_lime_and_carbonite,287
ef_ippu_tonne_co2_per_tonne_production_metals,288
ef_ippu_tonne_co2_per_tonne_production_plastic,289
ef_ippu_tonne_n2o_per_mmm_gdp_other_product_manufacturing,31
ef_ippu_tonne_n2o_per_tonne_production_chemicals,31
ef_ippu_tonne_n2o_per_tonne_production_electronics,31
ef_ippu_tonne_nf3_per_tonne_production_chemicals,290
ef_ippu_tonne_nf3_per_tonne_production_electronics,291
ef_ippu_tonne_sf6_per_mmm_gdp_other_product_manufacturing,30
ef_ippu_tonne_sf6_per_tonne_production_chemicals,292
ef_ippu_tonne_sf6_per_tonne_production_electronics,30
ef_ippu_tonne_sf6_per_tonne_production_metals,30
ef_lndu_boc_wetlands_gg_ch4_ha,293
ef_lndu_conv_croplands_to_croplands_gg_co2_ha,294
ef_lndu_conv_croplands_to_forests_mangroves_gg_co2_ha,295
ef_lndu_conv_croplands_to_forests_primary_gg_co2_ha,296
ef_lndu_conv_croplands_to_forests_secondary_gg_co2_ha,297
ef_lndu_conv_croplands_to_grasslands_gg_co2_ha,298
ef_lndu_conv_croplands_to_other_gg_co2_ha,299
ef_lndu_conv_croplands_to_settlements_gg_co2_ha,300
ef_lndu_conv_croplands_to_wetlands_gg_co2_ha,301
ef_lndu_conv_forests_mangroves_to_croplands_gg_co2_ha,302
ef_lndu_conv_forests_mangroves_to_forests_mangroves_gg_co2_ha,303
ef_lndu_conv_forests_mangroves_to_forests_primary_gg_co2_ha,304
ef_lndu_conv_forests_mangroves_to_forests_secondary_gg_co2_ha,305
ef_lndu_conv_forests_mangroves_to_grasslands_gg_co2_ha,306
ef_lndu_conv_forests_mangroves_to_other_gg_co2_ha,307
ef_lndu_conv_forests_mangroves_to_settlements_gg_co2_ha,308
ef_lndu_conv_forests_mangroves_to_wetlands_gg_co2_ha,309
ef_lndu_conv_forests_primary_to_croplands_gg_co2_ha,310
ef_lndu_conv_forests_primary_to_forests_mangroves_gg_co2_ha,311
ef_lndu_conv_forests_primary_to_forests_primary_gg_co2_ha,312
ef_lndu_conv_forests_primary_to_forests_secondary_gg_co2_ha,313
ef_lndu_conv_forests_primary_to_grasslands_gg_co2_ha,314
ef_lndu_conv_forests_primary_to_other_gg_co2_ha,315
ef_lndu_conv_forests_primary_to_settlements_gg_co2_ha,316
ef_lndu_conv_forests_primary_to_wetlands_gg_co2_ha,317
ef_lndu_conv_forests_secondary_to_croplands_gg_co2_ha,318
ef_lndu_conv_forests_secondary_to_forests_mangroves_gg_co2_ha,319
ef_lndu_conv_forests_secondary_to_forests_primary_gg_co2_ha,320
ef_lndu_conv_forests_secondary_to_forests_secondary_gg_co2_ha,321
ef_lndu_conv_forests_secondary_to_grasslands_gg_co2_ha,322
ef_lndu_conv_forests_secondary_to_other_gg_co2_ha,323
ef_lndu_conv_forests_secondary_to_settlements_gg_co2_ha,324
ef_lndu_conv_forests_secondary_to_wetlands_gg_co2_ha,325
ef_lndu_conv_grasslands_to_croplands_gg_co2_ha,326
ef_lndu_conv_grasslands_to_forests_mangroves_gg_co2_ha,327
ef_lndu_conv_grasslands_to_forests_primary_gg_co2_ha,328
ef_lndu_conv_grasslands_to_forests_secondary_gg_co2_ha,329
ef_lndu_conv_grasslands_to_grasslands_gg_co2_ha,330
ef_lndu_conv_grasslands_to_other_gg_co2_ha,331
ef_lndu_conv_grasslands_to_settlements_gg_co2_ha,332
ef_lndu_conv_grasslands_to_wetlands_gg_co2_ha,333
ef_lndu_conv_other_to_croplands_gg_co2_ha,334
ef_lndu_conv_other_to_forests_mangroves_gg_co2_ha,335
ef_lndu_conv_other_to_forests_primary_gg_co2_ha,336
ef_lndu_conv_other_to_forests_secondary_gg_co2_ha,337
ef_lndu_conv_other_to_grasslands_gg_co2_ha,338
ef_lndu_conv_other_to_other_gg_co2_ha,339
ef_lndu_conv_other_to_settlements_gg_co2_ha,340
ef_lndu_conv_other_to_wetlands_gg_co2_ha,341
ef_lndu_conv_settlements_to_croplands_gg_co2_ha,342
ef_lndu_conv_settlements_to_forests_mangroves_gg_co2_ha,343
ef_lndu_conv_settlements_to_forests_primary_gg_co2_ha,344
ef_lndu_conv_settlements_to_forests_secondary_gg_co2_ha,345
ef_lndu_conv_settlements_to_grasslands_gg_co2_ha,346
ef_lndu_conv_settlements_to_other_gg_co2_ha,347
ef_lndu_conv_settlements_to_settlements_gg_co2_ha,348
ef_lndu_conv_settlements_to_wetlands_gg_co2_ha,349
ef_lndu_conv_wetlands_to_croplands_gg_co2_ha,350
ef_lndu_conv_wetlands_to_forests_mangroves_gg_co2_ha,351
ef_lndu_conv_wetlands_to_forests_primary_gg_co2_ha,352
ef_lndu_conv_wetlands_to_forests_secondary_gg_co2_ha,353
ef_lndu_conv_wetlands_to_grasslands_gg_co2_ha,354
ef_lndu_conv_wetlands_to_other_gg_co2_ha,355
ef_lndu_conv_wetlands_to_settlements_gg_co2_ha,356
ef_lndu_conv_wetlands_to_wetlands_gg_co2_ha,357
ef_lsmm_direct_management_anaerobic_digester_n2o_per_n,358
ef_lsmm_direct_management_anaerobic_lagoon_n2o_per_n,359
ef_lsmm_direct_management_composting_n2o_per_n,360
ef_lsmm_direct_management_daily_spread_n2o_per_n,361
ef_lsmm_direct_management_deep_bedding_n2o_per_n,362
ef_lsmm_direct_management_dry_lot_n2o_per_n,363
ef_lsmm_direct_management_incineration_n2o_per_n,364
ef_lsmm_direct_management_liquid_slurry_n2o_per_n,365
ef_lsmm_direct_management_paddock_pasture_range_n2o_per_n,366
ef_lsmm_direct_management_poultry_manure_n2o_per_n,367
ef_lsmm_direct_management_storage_solid_n2o_per_n,368
ef_lvst_entferm_buffalo_kg_ch4_head,1
ef_lvst_entferm_cattle_dairy_kg_ch4_head,1
ef_lvst_entferm_cattle_nondairy_kg_ch4_head,1
ef_lvst_entferm_chickens_kg_ch4_head,369
ef_lvst_entferm_goats_kg_ch4_head,1
ef_lvst_entferm_horses_kg_ch4_head,370
ef_lvst_entferm_mules_kg_ch4_head,371
ef_lvst_entferm_pigs_kg_ch4_head,372
ef_lvst_entferm_sheep_kg_ch4_head,1
ef_soil_c_cultivated_organic_temperate_crop_grass_tonne_per_ha,373
ef_soil_c_cultivated_organic_tropical_crop_grass_tonne_per_ha,374
ef_soil_c_liming_dolomite,375
ef_soil_c_liming_limestone,376
ef_soil_c_urea,377
ef_soil_ef1_n_organic_amerndments_fertilizer_n2o_dry_climate,378
ef_soil_ef1_n_organic_amerndments_fertilizer_n2o_wet_climate,379
ef_soil_ef1_n_rice_fields_n2o,380
ef_soil_ef1_n_synthetic_fertilizer_n2o_dry_climate,381
ef_soil_ef1_n_synthetic_fertilizer_n2o_wet_climate,382
ef_soil_ef2_n_drained_managed_soils_n2o_temperate_crop_grass_kg_n2on_ha,383
ef_soil_ef2_n_drained_managed_soils_n2o_temperate_forest_nutrient_poor_kg_n2on_ha,384
ef_soil_ef2_n_drained_managed_soils_n2o_temperate_forest_nutrient_rich_kg_n2on_ha,385
ef_soil_ef2_n_drained_managed_soils_n2o_tropical_crop_grass_kg_n2on_ha,386
ef_soil_ef2_n_drained_managed_soils_n2o_tropical_forest_kg_n2on_ha,387
ef_soil_ef3_pasture_n2o_dry_climate,388
ef_soil_ef3_pasture_n2o_wet_climate,389
ef_soil_ef4_n_volatilisation_n2o_dry_climate,390
ef_soil_ef4_n_volatilisation_n2o_wet_climate,391
ef_soil_ef5_n_leaching_n2o,392
ef_trns_mobile_combustion_aviation_kg_ch4_per_tj_kerosene,393
ef_trns_mobile_combustion_aviation_kg_n2o_per_tj_kerosene,394
ef_trns_mobile_combustion_powered_bikes_kg_ch4_per_tj_gasoline,395
ef_trns_mobile_combustion_powered_bikes_kg_n2o_per_tj_gasoline,396
ef_trns_mobile_combustion_public_kg_ch4_per_tj_biofuels,397
ef_trns_mobile_combustion_public_kg_ch4_per_tj_diesel,398
ef_trns_mobile_combustion_public_kg_ch4_per_tj_gasoline,399
ef_trns_mobile_combustion_public_kg_ch4_per_tj_hydrocarbon_gas_liquids,400
ef_trns_mobile_combustion_public_kg_ch4_per_tj_natural_gas,401
ef_trns_mobile_combustion_public_kg_n2o_per_tj_biofuels,402
ef_trns_mobile_combustion_public_kg_n2o_per_tj_diesel,403
ef_trns_mobile_combustion_public_kg_n2o_per_tj_gasoline,404
ef_trns_mobile_combustion_public_kg_n2o_per_tj_hydrocarbon_gas_liquids,405
ef_trns_mobile_combustion_public_kg_n2o_per_tj_natural_gas,406
ef_trns_mobile_combustion_rail_freight_kg_ch4_per_tj_diesel,407
ef_trns_mobile_combustion_rail_freight_kg_ch4_per_tj_natural_gas,408
ef_trns_mobile_combustion_rail_freight_kg_n2o_per_tj_diesel,409
ef_trns_mobile_combustion_rail_freight_kg_n2o_per_tj_natural_gas,410
ef_trns_mobile_combustion_rail_passenger_kg_ch4_per_tj_diesel,411
ef_trns_mobile_combustion_rail_passenger_kg_ch4_per_tj_natural_gas,412
ef_trns_mobile_combustion_rail_passenger_kg_n2o_per_tj_diesel,413
ef_trns_mobile_combustion_rail_passenger_kg_n2o_per_tj_natural_gas,414
ef_trns_mobile_combustion_road_heavy_freight_kg_ch4_per_tj_biofuels,415
ef_trns_mobile_combustion_road_heavy_freight_kg_ch4_per_tj_diesel,416
ef_trns_mobile_combustion_road_heavy_freight_kg_ch4_per_tj_gasoline,417
ef_trns_mobile_combustion_road_heavy_freight_kg_ch4_per_tj_hydrocarbon_gas_liquids,418
ef_trns_mobile_combustion_road_heavy_freight_kg_ch4_per_tj_natural_gas,419
ef_trns_mobile_combustion_road_heavy_freight_kg_n2o_per_tj_biofuels,420
ef_trns_mobile_combustion_road_heavy_freight_kg_n2o_per_tj_diesel,421
